"aggregate_type","agg_source_1","groupname_1","agg_source_2","groupname_2","criterion","codes","names","TotPop2024LessThan90k"
"development_groups","WPP 2024","[development_groups] Least developed countries","Hard-coded","Least developed countries","Not in WPP 2024",64,"Bhutan",FALSE
"development_groups","WPP 2024","[development_groups] Least developed countries","Hard-coded","Least developed countries","Not in WPP 2024",548,"Vanuatu",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in Hard-coded",158,"China, Taiwan Province of China",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in Hard-coded",196,"Cyprus",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in Hard-coded",376,"Israel",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in WPP 2024",74,"Bouvet Island",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in WPP 2024",260,"French Southern Territories",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in WPP 2024",581,"United States Minor Outlying Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Hard-coded","Developing countries / Less developed countries","Not in WPP 2024",612,"Pitcairn",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in Hard-coded",196,"Cyprus",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in Hard-coded",376,"Israel",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in WPP 2024",74,"Bouvet Island",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in WPP 2024",260,"French Southern Territories",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in WPP 2024",344,"China, Hong Kong SAR",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in WPP 2024",446,"China, Macao SAR",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in WPP 2024",581,"United States Minor Outlying Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding China","Hard-coded","Developing (excl. China) / Less developed countries, excluding China","Not in WPP 2024",612,"Pitcairn",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in Hard-coded",64,"Bhutan",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in Hard-coded",158,"China, Taiwan Province of China",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in Hard-coded",196,"Cyprus",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in Hard-coded",376,"Israel",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in Hard-coded",548,"Vanuatu",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in WPP 2024",74,"Bouvet Island",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in WPP 2024",260,"French Southern Territories",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in WPP 2024",581,"United States Minor Outlying Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Hard-coded","Other developing countries","Not in WPP 2024",612,"Pitcairn",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in Hard-coded",412,"Kosovo (under UNSC res. 1244)",FALSE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",162,"Christmas Island",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",166,"Cocos (Keeling) Islands",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",196,"Cyprus",FALSE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",248,"Aland Islands",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",334,"Heard Island and McDonald Islands",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",376,"Israel",FALSE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",574,"Norfolk Island",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",680,"Sark",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Hard-coded","Developed countries / More developed countries","Not in WPP 2024",744,"Svalbard and Jan Mayen Islands",TRUE
"development_groups","WPP 2024","[development_groups] Least developed countries","Country classifications file","[development_groups] Least developed country","Not in WPP 2024",64,"Bhutan",FALSE
"development_groups","WPP 2024","[development_groups] Least developed countries","Country classifications file","[development_groups] Least developed country","Not in WPP 2024",548,"Vanuatu",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","Country classifications file","[development_groups] Less Developed Regions","Not in Country classifications file",196,"Cyprus",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","Country classifications file","[development_groups] Less Developed Regions","Not in Country classifications file",376,"Israel",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","Country classifications file","[development_groups] Less Developed Regions","Not in WPP 2024",74,"Bouvet Island",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Country classifications file","[development_groups] Less Developed Regions","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Country classifications file","[development_groups] Less Developed Regions","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Country classifications file","[development_groups] Less Developed Regions","Not in WPP 2024",260,"French Southern Territories",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Country classifications file","[development_groups] Less Developed Regions","Not in WPP 2024",581,"United States Minor Outlying Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","Country classifications file","[development_groups] Less Developed Regions","Not in WPP 2024",612,"Pitcairn",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in Country classifications file",64,"Bhutan",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in Country classifications file",196,"Cyprus",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in Country classifications file",376,"Israel",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in Country classifications file",548,"Vanuatu",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in WPP 2024",74,"Bouvet Island",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in WPP 2024",260,"French Southern Territories",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in WPP 2024",581,"United States Minor Outlying Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions, excluding least developed countries","Country classifications file","[development_groups] Less developed regions, excluding least developed countries","Not in WPP 2024",612,"Pitcairn",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",162,"Christmas Island",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",166,"Cocos (Keeling) Islands",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",196,"Cyprus",FALSE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",248,"Aland Islands",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",334,"Heard Island and McDonald Islands",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",376,"Israel",FALSE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",574,"Norfolk Island",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",680,"Sark",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","Country classifications file","[development_groups] Developed region","Not in WPP 2024",744,"Svalbard and Jan Mayen Islands",TRUE
"development_groups","WPP 2024","[development_groups] Least developed countries","Legacy special aggregates","[SDG_regions_LDCs] Least Developed Countries (LDCs)","Not in WPP 2024",64,"Bhutan",FALSE
"development_groups","WPP 2024","[development_groups] Least developed countries","Legacy special aggregates","[SDG_regions_LDCs] Least Developed Countries (LDCs)","Not in WPP 2024",548,"Vanuatu",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in UNSD M49 (Dev/Dev'ing)",158,"China, Taiwan Province of China",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in UNSD M49 (Dev/Dev'ing)",196,"Cyprus",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in UNSD M49 (Dev/Dev'ing)",376,"Israel",FALSE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in WPP 2024",74,"Bouvet Island",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in WPP 2024",86,"British Indian Ocean Territory",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in WPP 2024",239,"South Georgia and the South Sandwich Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in WPP 2024",260,"French Southern Territories",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in WPP 2024",581,"United States Minor Outlying Islands",TRUE
"development_groups","WPP 2024","[development_groups] Less developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developing","Not in WPP 2024",612,"Pitcairn",TRUE
"development_groups","WPP 2024","[development_groups] More developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developed","Not in UNSD M49 (Dev/Dev'ing)",412,"Kosovo (under UNSC res. 1244)",FALSE
"development_groups","WPP 2024","[development_groups] More developed regions","UNSD M49 (Dev/Dev'ing)","[December 2021] Developed","Not in WPP 2024",162,"Christmas Island",TRUE
